,I+,I-,R
2017-12-05,1.0,0.0,0.0
2017-12-06,0.9945054945054945,0.0,0.005494505494505495
2017-12-07,0.9890411786016182,0.0,0.010958821398381838
2017-12-08,0.9836068864114994,0.0,0.01639311358850062
2017-12-09,0.978202452969678,0.0,0.021797547030322044
2017-12-10,0.9728277142170974,0.0,0.02717228578290269
2017-12-11,0.9674825069961243,0.0,0.032517493003875755
2017-12-12,0.9621666690455961,0.0,0.03783333095440391
2017-12-13,0.956880038995895,0.0,0.043119961004104986
2017-12-14,0.9516224563640495,0.0,0.048377543635950565
2017-12-15,0.9463937615488625,0.0,0.05360623845113765
2017-12-16,0.9411937958260665,0.0,0.0588062041739336
2017-12-17,0.9360224013435057,0.0,0.0639775986564944
2017-12-18,0.9308794211163436,0.0,0.06912057888365651
2017-12-19,0.9257646990222977,1.0,0.07423530097770235
2017-12-20,0.9206780797969004,5.9945054945054945,0.08481642569760509
2017-12-21,0.9156194090287856,5.96156865112909,0.12281193984212374
2017-12-22,0.9105885331550011,5.928812779419589,0.16059868742540878
2017-12-23,0.9055852994563472,5.896236885027173,0.19817781551647795
2017-12-24,0.9006095560527411,5.863839979065485,0.235550464881772
2017-12-25,0.8956611518986052,5.831621078081609,0.27271777001978426
2017-12-26,0.8907399367782832,5.799579204026215,0.3096808591954997
2017-12-27,0.8858457613014794,5.767713384223873,0.3464408544746453
2017-12-28,0.880978476898724,5.7360226513435215,0.3829988717577516
2017-12-29,0.876137935816863,5.704506043369106,0.4193560208140277
2017-12-30,0.8713239911145725,5.6731626035703755,0.45551340531504947
2017-12-31,0.866536496657899,5.6419913804738355,0.4914721228682635
2018-01-01,0.8617753071158227,5.610991427833869,0.527233265050306
2018-01-02,0.8570402779558457,5.580161804604012,0.5627979174401394
2018-01-03,0.8523312654396048,5.549501574908386,0.5981671596520067
2018-01-04,0.8476481266185081,5.519009808013285,0.6333420653682045
2018-01-05,0.8429907193293954,5.488685578298926,0.6683237023716758
2018-01-06,0.8383589021902229,5.45852796523135,0.7031131325784248
2018-01-07,0.833752534595771,5.428536053334475,0.7377114120697521
2018-01-08,1.8291714767133767,5.398708932162307,0.7721195911243139
