,230.0,230.0,223.0,223.0,1.0,1.0
,I,period,I,period,I,period
2017-06,0.0,6,0.01327885597548519,6,0.0005107252298263534,6
2017-07,0.0,,0.011065713312904325,,0.00042560435818862785,
2017-08,0.0,,0.009221427760753605,,0.0003546702984905233,
2017-09,0.0,,0.007684523133961338,,0.00029555858207543605,
2017-10,0.0,,0.019682625253786303,,0.0007570240482225501,
2017-11,0.0,,0.02968104368697378,,0.0011415786033451454,
2017-12,0.0,,0.06457077099893371,,0.0024834911922666813,
2018-01,0.01327885597548519,,0.05380897583244477,,0.002580301223381921,
