,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period
2017-06,0,0.0,0.0,0,0,0,1.0,0.01327885597548519,6,1,1.0,0.01327885597548519,2,0,2,0.75,0.07967313585291114,6,1,1.0,0.0005107252298263534,2,0,2,0.7777777777777778,0.003575076608784474,6
2017-07,0,0.0,0.0,,,,,,,0,0.8333333333333334,0.011065713312904325,,,,,,,0,0.8333333333333334,0.00042560435818862785,,,,,,
2017-08,0,0.0,0.0,,,,,,,0,0.6944444444444445,0.009221427760753605,,,,,,,0,0.6944444444444445,0.0003546702984905233,,,,,,
2017-09,0,0.0,0.0,,,,,,,0,0.5787037037037038,0.007684523133961338,,,,,,,0,0.5787037037037038,0.00029555858207543605,,,,,,
2017-10,0,0.0,0.0,,,,,,,1,1.4822530864197532,0.019682625253786303,,,,,,,1,1.4822530864197532,0.0007570240482225501,,,,,,
2017-11,0,0.0,0.0,,,,,,,1,2.2352109053497946,0.02968104368697378,,,,,,,1,2.2352109053497946,0.0011415786033451454,,,,,,
2017-12,0,0.0,0.0,,,,,,,3,4.862675754458162,0.06457077099893371,,,,,,,3,4.862675754458162,0.0024834911922666813,,,,,,
2018-01,1,1.0,0.01327885597548519,,,,,,,0,4.052229795381802,0.05380897583244477,,,,,,,1,5.052229795381802,0.002580301223381921,,,,,,
