,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period
2013-12,0,0.0,0.0,0,0,0,1.0,0.016100178890876563,2.5,0,0.0,0.0,0,0,0,1.0,0.016100178890876563,0.5,0,0.0,0.0,0,0,0,1.0,0.016100178890876563,1,0,0.0,0.0,0,0,0,1.0,0.032200357781753126,1.3,0,0.0,0.0,0,0,0,1.0,0.032200357781753126,2.5,0,0.0,0.0,0,0,0,1.0,0.09660107334525939,1,0,0.0,0.0,0,0,0,1.0,0.06440071556350625,1,0,0.0,0.0,0,0,0,1.0,0.1288014311270125,1.5,1,1.0,0.016100178890876563,0,3,3,0.88,0.3542039355992844,1.3,0,0.0,0.0,0,0,0,1.0,0.08050089445438283,1.3,0,0.0,0.0,0,0,0,1.0,0.016100178890876563,1.1,0,0.0,0.0,0,0,0,1.0,0.016100178890876563,3,0,0.0,0.0,0,0,0,1.0,0.19320214669051877,0.5,1,1.0,0.0008944543828264759,0,3,3,0.9565217391304348,0.059033989266547404,1.3
2014-01,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.8333333333333334,0.013416815742397137,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.8333333333333334,0.0007453786523553966,,,,,,
2014-02,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.6944444444444445,0.011180679785330949,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,3,3.0,0.04830053667262969,,,,,,,3,3.6944444444444446,0.003304512025442258,,,,,,
2014-03,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,1,1.5787037037037037,0.02541741204531902,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,2,4.5,0.07245080500894455,,,,,,,3,6.078703703703704,0.005437123169681309,,,,,,
2014-04,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,1,1.0,0.016100178890876563,,,,,,,0,0.0,0.0,,,,,,,1,1.0,0.016100178890876563,,,,,,,1,1.0,0.016100178890876563,,,,,,,1,1.0,0.016100178890876563,,,,,,,0,0.0,0.0,,,,,,,10,11.315586419753087,0.18218296561319816,,,,,,,2,2.0,0.032200357781753126,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,7,10.75,0.17307692307692307,,,,,,,23,28.06558641975309,0.025103386779743372,,,,,,
2014-05,1,1.0,0.016100178890876563,,,,,,,1,1.0,0.016100178890876563,,,,,,,0,0.8333333333333334,0.013416815742397137,,,,,,,2,2.0,0.032200357781753126,,,,,,,1,1.8333333333333335,0.029516994633273706,,,,,,,5,5.833333333333333,0.09391771019677995,,,,,,,3,3.8333333333333335,0.061717352415026835,,,,,,,8,8.0,0.1288014311270125,,,,,,,10,19.42965534979424,0.3128209269197641,,,,,,,3,4.666666666666667,0.07513416815742398,,,,,,,1,1.0,0.016100178890876563,,,,,,,1,1.0,0.016100178890876563,,,,,,,0,8.958333333333334,0.14423076923076925,,,,,,,36,59.387988683127574,0.05311984676487261,,,,,,
