,8.0,8.0,7.0,7.0,1.0,1.0
,I,period,I,period,I,period
2014-03,0.0,5,0.0,5,0.0,5
2014-04,0.0196078431372549,,0.0,,0.0033003300330033004,
2014-05,0.016339869281045753,,0.0,,0.0027502750275027505,
2014-06,0.0332244008714597,,0.0,,0.005592225889255593,
2014-07,0.04729484386347132,,0.0,,0.007960518274049628,
2014-08,0.059020213023481004,,0.0,,0.00993409526137799,
2014-09,0.14722272653917534,,0.014705882352941176,,0.028080392915834793,
