,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,I_new,I,A(not tp),tp,A,I/(I+A),I/population,I_new,I,A(not tp),tp,A,I/(I+A),I/population,I_new,I,A(not tp),tp,A,I/(I+A),I/population
2014-03,0,0.0,1,3,4,0.6923076923076923,0.19148936170212766,0,0.0,0,0,0,1.0,0.014705882352941176,0,0.0,1,3,4,0.7142857142857143,0.033003300330033
2014-04,1,1.0,,,,,,0,0.0,,,,,,1,1.0,,,,,
2014-05,0,0.8333333333333334,,,,,,0,0.0,,,,,,0,0.8333333333333334,,,,,
2014-06,1,1.6944444444444446,,,,,,0,0.0,,,,,,1,1.6944444444444446,,,,,
2014-07,1,2.412037037037037,,,,,,0,0.0,,,,,,1,2.412037037037037,,,,,
2014-08,1,3.0100308641975313,,,,,,0,0.0,,,,,,1,3.0100308641975313,,,,,
2014-09,5,7.5083590534979425,,,,,,1,1.0,,,,,,6,8.508359053497943,,,,,
