,I+,I+,I+,I+,I+,I+,I+,I+,I+,I+,I+,I+,I+,I+,I-,I-,I-,I-,I-,I-,I-,I-,I-,I-,I-,I-,I-,I-,R,R,R,R,R,R,R,R,R,R,R,R,R,R
,41.0,46.0,42.0,35.0,40.0,37.0,44.0,43.0,0.0,51.0,52.0,48.0,45.0,1.0,41.0,46.0,42.0,35.0,40.0,37.0,44.0,43.0,0.0,51.0,52.0,48.0,45.0,1.0,41.0,46.0,42.0,35.0,40.0,37.0,44.0,43.0,0.0,51.0,52.0,48.0,45.0,1.0
2014-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
2014-03,0.6944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055555555555556
2014-04,1.5787037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5787037037037037,8.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.833333333333334,0.0,0.0,0.0,0.0,20.666666666666668,0.587962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.7546296296296297
2014-05,1.3155864197530864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3155864197530864,19.36111111111111,2.0,6.0,1.0,5.0,1.0,5.0,4.0,9.861111111111112,1.0,1.0,1.0,1.0,57.22222222222223,2.3233024691358026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.138888888888889,0.0,0.0,0.0,0.0,4.4621913580246915
2014-06,1.0963220164609053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963220164609053,18.13425925925926,1.6666666666666667,7.0,0.8333333333333334,4.166666666666667,0.8333333333333334,5.166666666666667,3.3333333333333335,8.217592592592593,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.8333333333333335,53.6851851851852,5.769418724279835,0.3333333333333333,1.0,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.6666666666666666,3.7824074074074074,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,14.218492798353907
