,I+,I+,I+,I+,I+,I+,I+,I+,I+,I+,I+,I+,I+,I+,I-,I-,I-,I-,I-,I-,I-,I-,I-,I-,I-,I-,I-,I-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R
,92.0,93.0,98.0,99.0,97.0,0.0,94.0,95.0,96.0,100.0,104.0,101.0,102.0,1.0,92.0,93.0,98.0,99.0,97.0,0.0,94.0,95.0,96.0,100.0,104.0,101.0,102.0,1.0,92.0,93.0,98.0,99.0,97.0,0.0,94.0,95.0,96.0,100.0,104.0,101.0,102.0,1.0,92.0,93.0,98.0,99.0,97.0,0.0,94.0,95.0,96.0,100.0,104.0,101.0,102.0,1.0
2013-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
2013-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5277777777777777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.527777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722222222222222
2013-08,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,7.106481481481481,1.0,0.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,1.0,0.8333333333333334,11.773148148148149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.8935185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,1.3935185185185186
2013-09,0.6944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944444444444445,2.0,25.922067901234566,4.833333333333333,6.0,1.0,1.8333333333333335,0.0,1.0,0.6944444444444445,1.0,1.0,0.8333333333333334,0.6944444444444445,46.810956790123456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055555555555556,2.077932098765432,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.3055555555555556,0.0,0.0,0.16666666666666666,0.3055555555555556,3.494598765432098
2013-10,0.5787037037037038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5787037037037038,1.6666666666666667,26.601723251028805,4.027777777777778,10.0,5.833333333333333,1.527777777777778,3.0,2.8333333333333335,3.5787037037037037,2.8333333333333335,4.833333333333333,0.6944444444444445,0.5787037037037038,68.00913065843622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7546296296296297,6.398276748971193,0.9722222222222221,1.0,0.16666666666666666,0.4722222222222222,0.0,0.16666666666666666,0.42129629629629634,0.16666666666666666,0.16666666666666666,0.3055555555555556,0.42129629629629634,11.41216563786008
2013-11,0.4822530864197532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4822530864197532,2.3888888888888893,24.168102709190673,3.3564814814814814,14.333333333333334,6.861111111111111,2.273148148148148,2.5,2.361111111111111,3.982253086419753,2.361111111111111,4.027777777777778,1.5787037037037037,1.4822530864197532,71.67427554869684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.128858024691358,10.831897290809327,1.6435185185185184,2.666666666666667,1.1388888888888888,0.7268518518518519,0.5,0.638888888888889,1.017746913580247,0.638888888888889,0.9722222222222221,0.42129629629629634,0.5177469135802469,22.8434713648834
