,104.0,104.0,102.0,102.0,101.0,101.0,100.0,100.0,99.0,99.0,98.0,98.0,97.0,97.0,96.0,96.0,95.0,95.0,94.0,94.0,93.0,93.0,92.0,92.0,0.0,0.0,1.0,1.0
,I,period,I,period,I,period,I,period,I,period,I,period,I,period,I,period,I,period,I,period,I,period,I,period,I,period,I,period
2013-03,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.9,0.0,0.4,0.0,0.6,0.010869565217391304,0.6,0.0,0.6,0.0,0.6,0.00036231884057971015,0.6
2013-04,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.009057971014492754,,0.010869565217391304,,0.0,,0.0006642512077294686,
2013-05,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.010869565217391304,,0.0,,0.0,,0.007548309178743962,,0.009057971014492754,,0.0,,0.0009158615136876007,
2013-06,0.0,,0.0,,0.0,,0.0,,0.021739130434782608,,0.0,,0.0,,0.009057971014492754,,0.0,,0.0,,0.08237721417069244,,0.018417874396135268,,0.0,,0.004386406333870102,
2013-07,0.0,,0.0,,0.010869565217391304,,0.0,,0.03985507246376812,,0.021739130434782608,,0.0,,0.007548309178743962,,0.010869565217391304,,0.0,,0.10125637412775093,,0.015348228663446057,,0.0,,0.006916208176775809,
2013-08,0.021739130434782608,,0.0,,0.009057971014492754,,0.021739130434782608,,0.03321256038647343,,0.03985507246376812,,0.0,,0.006290257648953302,,0.01992753623188406,,0.0,,0.1930759639470388,,0.012790190552871714,,0.010869565217391304,,0.012285245944414625,
2013-09,0.018115942028985508,,0.0,,0.007548309178743962,,0.018115942028985508,,0.060285829307568435,,0.03321256038647343,,0.021739130434782608,,0.016111446591519057,,0.016606280193236716,,0.010869565217391304,,0.25872272357905407,,0.021528057344784402,,0.009057971014492754,,0.016397125243533928,
2013-10,0.015096618357487924,,0.010869565217391304,,0.017159822866344605,,0.015096618357487924,,0.1154555823939882,,0.027677133655394526,,0.050724637681159424,,0.03516533592771516,,0.013838566827697263,,0.009057971014492754,,0.24821096530138564,,0.028809613004711635,,0.007548309178743962,,0.019823691326133343,
2013-11,0.012580515297906604,,0.009057971014492754,,0.014299852388620504,,0.012580515297906604,,0.1070825505457148,,0.023064278046162102,,0.04227053140096619,,0.0293044466064293,,0.011532139023081051,,0.007548309178743962,,0.20684247108448803,,0.024008010837259695,,0.017159822866344605,,0.017244380452937205,
